1 1:117.97658 2:0.24145475 3:2.2982862 4:-6.694887 5:0.7775831 6:-2.5335832 7:4.065981 8:-3.8553774 9:0.48368543 10:-0.43032664 11:3.2050335 12:-3.0668843 13:2.7696915 14:117.97658 15:0.24145475 16:2.2982862 17:-6.694887 18:0.7775831 19:-2.5335832 20:4.065981 21:-3.8553774 22:0.48368543 23:-0.43032664 24:3.2050335 25:-3.0668843 26:2.7696915 
1 1:220.856 2:6.7295938 3:9.814382 4:-2.0106199 5:3.4409854 6:-4.081637 7:4.590484 8:1.1690633 9:5.2607827 10:-2.11727 11:5.728097 12:-0.9165312 13:3.34112 14:220.856 15:6.7295938 16:9.814382 17:-2.0106199 18:3.4409854 19:-4.081637 20:4.590484 21:1.1690633 22:5.2607827 23:-2.11727 24:5.728097 25:-0.9165312 26:3.34112 
1 1:225.12738 2:6.657075 3:7.5665345 4:-2.1544049 5:5.576307 6:-0.21821918 7:7.2085514 8:-0.59688544 9:1.7960829 10:-3.8800437 11:3.167043 12:-2.3236268 13:3.9920132 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:233.82408 2:5.008617 3:4.9204926 4:-5.150909 5:3.8040102 6:0.27081963 7:8.717603 8:-1.4484422 9:2.2099984 10:0.20097491 11:3.5823858 12:-2.253485 13:5.427988 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:230.46674 2:5.2133737 3:5.001465 4:-5.2766385 5:1.3867502 6:-1.9789971 7:7.022717 8:-0.79335994 9:2.815576 10:-1.9801524 11:0.41672483 12:-3.5191913 13:6.911713 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:221.10855 2:5.7058067 3:9.715645 4:-0.29237744 5:2.6300402 6:-2.5972276 7:4.560166 8:0.04208593 9:4.024156 10:-3.5618727 11:0.5647113 12:-4.6891327 13:5.047522 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:227.12758 2:7.2606707 3:12.7235155 4:-0.37253857 5:5.418357 6:0.052335516 7:7.187406 8:-1.7468702 9:1.348962 10:-2.2457316 11:4.1234293 12:-1.5596335 13:4.5944977 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:227.09866 2:7.294585 3:10.633548 4:-1.522422 5:4.867031 6:-0.25923708 7:8.022333 8:-2.623063 9:2.8136039 10:-1.650723 11:3.5842752 12:-1.0860165 13:4.8681827 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:225.76776 2:8.060553 3:8.330525 4:-4.174378 5:3.8548577 6:-0.9407161 7:4.4596257 8:-2.8956707 9:2.5166695 10:-0.38892108 11:4.681685 12:-1.3352833 13:3.7949333 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:223.38644 2:7.1084414 3:11.226511 4:-1.874124 5:3.6481776 6:-2.3217244 7:4.3166914 8:-1.6318716 9:2.213348 10:-2.4610007 11:4.5801787 12:-1.4717948 13:3.3105695 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:221.51474 2:3.3783548 3:7.2996373 4:-1.6378438 5:5.298443 6:-1.9151844 7:4.755799 8:0.19226706 9:1.8152257 10:-2.8684077 11:1.6178173 12:-2.8374715 13:4.7663035 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:222.86629 2:4.539693 3:6.445473 4:-2.428023 5:5.209189 6:-0.26456028 7:5.8260255 8:-0.47358948 9:3.0465796 10:-2.3336775 11:3.172007 12:-2.0266411 13:5.1522937 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:220.44118 2:6.7377973 3:9.915794 4:-0.7895145 5:6.352042 6:-0.84523255 7:6.033627 8:-0.61220884 9:2.3275962 10:-2.1517577 11:3.6311238 12:-1.3939469 13:4.8814125 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:219.0676 2:4.6409807 3:8.428089 4:-1.8276922 5:4.761257 6:-0.5703963 7:4.5704846 8:-2.2604256 9:1.089095 10:-2.7554765 11:3.6725698 12:-1.1578399 13:4.2483506 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
1 1:218.08064 2:4.8035927 3:9.671955 4:0.01065935 5:5.0609555 6:1.9776639 7:7.177831 8:-1.9248803 9:2.2345114 10:-3.652145 11:2.3532996 12:-0.19381398 13:4.789804 14:83.69608 15:4.9161057 16:2.2806125 17:0.22948226 18:5.4787393 19:0.5262584 20:0.09781696 21:-2.3070574 22:1.1398798 23:-1.0652791 24:1.9037379 25:-0.97119284 26:0.72561336 
