2 1:126.518036 2:-7.782714 3:-0.2879931 4:-1.4370247 5:-1.9875442 6:1.910084 7:2.9373589 8:-4.160535 9:2.467794 10:-1.1480643 11:2.9640865 12:-3.4255998 13:2.27935 14:126.518036 15:-7.782714 16:-0.2879931 17:-1.4370247 18:-1.9875442 19:1.910084 20:2.9373589 21:-4.160535 22:2.467794 23:-1.1480643 24:2.9640865 25:-3.4255998 26:2.27935 
2 1:314.45712 2:11.14448 3:6.234438 4:-4.261123 5:5.3919115 6:-2.6805043 7:2.4711025 8:-3.1023135 9:3.7588456 10:-2.5639973 11:3.0169141 12:-3.22664 13:3.7374923 14:314.45712 15:11.14448 16:6.234438 17:-4.261123 18:5.3919115 19:-2.6805043 20:2.4711025 21:-3.1023135 22:3.7588456 23:-2.5639973 24:3.0169141 25:-3.22664 26:3.7374923 
2 1:287.65463 2:8.757398 3:9.407645 4:-5.3963375 5:7.0533223 6:-3.1767967 7:3.3167055 8:-3.3319259 9:4.190681 10:-2.5350845 11:3.10442 12:-3.1151545 13:3.6802309 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:287.65463 2:8.757398 3:9.407645 4:-5.3963375 5:7.0533223 6:-3.1767967 7:3.3167055 8:-3.3319259 9:4.190681 10:-2.5350845 11:3.10442 12:-3.1151545 13:3.6802309 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:182.83195 2:2.670433 3:12.010991 4:-9.353309 5:8.591577 6:-2.616056 7:4.326007 8:-6.6411943 9:4.035593 10:-5.2237554 11:4.39959 12:-3.9374626 13:7.959252 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:182.83195 2:2.670433 3:12.010991 4:-9.353309 5:8.591577 6:-2.616056 7:4.326007 8:-6.6411943 9:4.035593 10:-5.2237554 11:4.39959 12:-3.9374626 13:7.959252 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:195.58603 2:2.742192 3:8.931188 4:-4.4464664 5:5.599558 6:-5.988304 7:3.4778473 8:-4.8360686 9:6.161585 10:-2.1493723 11:5.629548 12:-3.9621274 13:4.324286 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:195.58603 2:2.742192 3:8.931188 4:-4.4464664 5:5.599558 6:-5.988304 7:3.4778473 8:-4.8360686 9:6.161585 10:-2.1493723 11:5.629548 12:-3.9621274 13:4.324286 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:184.63661 2:1.9828022 3:6.998602 4:-6.449943 5:5.0488124 6:-4.5686345 7:5.305184 8:-2.380657 9:5.4644136 10:-2.1336627 11:5.426209 12:-3.3705492 13:4.5679464 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:184.63661 2:1.9828022 3:6.998602 4:-6.449943 5:5.0488124 6:-4.5686345 7:5.305184 8:-2.380657 9:5.4644136 10:-2.1336627 11:5.426209 12:-3.3705492 13:4.5679464 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:181.3258 2:5.722411 3:10.888045 4:-5.1477914 5:2.1193602 6:-4.19523 7:1.617359 8:-3.4939857 9:4.6080127 10:-3.0709724 11:2.5628219 12:-4.9887524 13:4.6043563 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
