1 1:219.01312 2:-7.4123673 3:10.57983 4:0.6085246 5:-6.695925 6:-3.0540528 7:3.7686346 8:-5.215776 9:0.4059107 10:-0.9016067 11:-2.2950473 12:-2.5378678 13:2.6626985 14:219.01312 15:-7.4123673 16:10.57983 17:0.6085246 18:-6.695925 19:-3.0540528 20:3.7686346 21:-5.215776 22:0.4059107 23:-0.9016067 24:-2.2950473 25:-2.5378678 26:2.6626985 
1 1:291.01776 2:-8.527065 3:7.070219 4:-2.3113651 5:-6.3720746 6:-1.1202892 7:5.25476 8:-2.4285333 9:1.9400423 10:-1.788219 11:0.062787265 12:0.01438349 13:1.4528356 14:291.01776 15:-8.527065 16:7.070219 17:-2.3113651 18:-6.3720746 19:-1.1202892 20:5.25476 21:-2.4285333 22:1.9400423 23:-1.788219 24:0.062787265 25:0.01438349 26:1.4528356 
1 1:272.6923 2:-6.699875 3:6.394978 4:-1.2567911 5:-2.0757835 6:-1.2780704 7:5.682133 8:-1.8487412 9:2.2061384 10:-0.9190656 11:1.2610854 12:-1.2778465 13:1.7096391 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.1061 2:-6.3361096 3:6.556758 4:0.11968289 5:1.8538123 6:-2.4603717 7:1.9854 8:-1.5586429 9:2.9727345 10:-0.36760095 11:2.5699337 12:-1.1945847 13:2.3197687 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.98315 2:-7.341638 3:6.7836723 4:1.4837013 5:1.6249434 6:-2.787527 7:2.968867 8:-2.2020016 9:2.680177 10:-2.2786102 11:0.42516288 12:-1.9692962 13:1.9450619 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.6176 2:-6.7814927 3:6.002807 4:-0.67694753 5:0.99089456 6:-1.60371 7:3.5968633 8:-0.867918 9:3.2537699 10:-1.7694286 11:0.122827396 12:-3.129587 13:1.0968349 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:266.76077 2:-5.651083 3:4.877724 4:-1.506928 5:0.42165783 6:-1.875537 7:0.78367996 8:-2.70441 9:2.646334 10:-2.4530501 11:0.9662577 12:-3.24098 13:1.635418 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.5607 2:-5.8966312 3:5.8614283 4:-1.2413236 5:1.5473075 6:-1.1552501 7:1.9032851 8:-2.0116656 9:3.7222512 10:-3.2574644 11:0.16426109 12:-2.9612122 13:0.30357885 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.5702 2:-8.018733 3:5.4947853 4:1.184723 5:2.9054165 6:-0.85422975 7:1.5585685 8:-1.5529206 9:3.4724844 10:-2.1469202 11:1.7131249 12:-0.8365015 13:0.7545994 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.5829 2:-5.6546216 3:5.3264055 4:-1.9027814 5:1.8148947 6:-1.4590691 7:2.269689 8:-0.5166248 9:4.2338834 10:-0.31063846 11:2.1356072 12:-0.6307265 13:3.4289148 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:269.95197 2:-4.7394447 3:6.796948 4:-0.13645981 5:2.4398465 6:-2.4154963 7:2.04023 8:-1.6376712 9:3.5231109 10:-2.1159136 11:1.0477543 12:-1.7864617 13:2.379251 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:270.0136 2:-4.4871902 3:8.88882 4:1.4317862 5:2.8467782 6:-1.4193565 7:2.7308319 8:-1.6176097 9:3.610133 10:-3.462702 11:-0.30652416 12:-2.4393144 13:1.2580986 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:266.1274 2:-5.9440765 3:7.3668456 4:1.8515427 5:2.5946808 6:-1.6696416 7:2.4984324 8:-1.6705197 9:3.6965601 10:-2.222735 11:0.33497453 12:-2.066071 13:3.218251 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.33453 2:-6.2115617 3:7.305939 4:1.065639 5:1.0032829 6:-3.286831 7:1.7422076 8:-2.2340682 9:3.6449864 10:-1.5008024 11:0.5292436 12:-1.9784604 13:3.1151578 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:266.70938 2:-7.608599 3:5.8637085 4:1.9104178 5:2.51509 6:-1.2676759 7:2.430877 8:-1.9067357 9:2.2665253 10:-2.9412134 11:1.2563689 12:-2.3743463 13:0.18786374 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.1168 2:-6.10896 3:7.637238 4:1.9744022 5:2.9722311 6:-1.6666375 7:2.4403546 8:-1.7437203 9:3.1699805 10:-2.132286 11:1.7147071 12:-0.9024412 13:3.2604444 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:267.2321 2:-4.4837637 3:8.682733 4:1.8378866 5:3.2708163 6:-1.115178 7:3.2646787 8:-1.525188 9:3.9679914 10:-1.7563293 11:2.1256073 12:-1.0239315 13:1.3155987 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:270.76437 2:-3.2400718 3:9.00454 4:0.5420345 5:1.1545887 6:-2.2371168 7:3.5170476 8:-2.9483058 9:2.550824 10:-1.0769945 11:0.5805509 12:-2.9392545 13:1.1579106 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
