1 1:171.52792 2:-8.877653 3:3.5960062 4:-1.713308 5:-2.0114799 6:-3.4150686 7:5.03875 8:0.3980142 9:1.8782352 10:0.78949124 11:4.106367 12:-6.070982 13:0.035557684 14:171.52792 15:-8.877653 16:3.5960062 17:-1.713308 18:-2.0114799 19:-3.4150686 20:5.03875 21:0.3980142 22:1.8782352 23:0.78949124 24:4.106367 25:-6.070982 26:0.035557684 
1 1:270.24915 2:-10.184885 3:7.343579 4:1.0663875 5:-1.0818119 6:-3.6620624 7:0.90319306 8:-1.7750207 9:2.7898805 10:-0.07161796 11:4.075269 12:-4.900463 13:0.2891716 14:270.24915 15:-10.184885 16:7.343579 17:1.0663875 18:-1.0818119 19:-3.6620624 20:0.90319306 21:-1.7750207 22:2.7898805 23:-0.07161796 24:4.075269 25:-4.900463 26:0.2891716 
1 1:271.78296 2:-9.560711 3:8.187814 4:1.589423 5:-0.72511065 6:-3.5322635 7:2.4451606 8:0.013530295 9:1.9947809 10:-1.1866878 11:2.412728 12:-4.059921 13:1.1054074 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:274.48364 2:-10.355695 3:8.228777 4:1.7015722 5:-0.9765842 6:-2.930644 7:2.0178423 8:0.39383778 9:2.7410064 10:-1.9016643 11:3.2947664 12:-4.3517575 13:0.88319045 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:291.74878 2:0.6652193 3:15.835374 4:2.4107533 5:-1.0892742 6:-3.9833193 7:1.146287 8:-2.1468773 9:1.5143608 10:-2.8598678 11:3.9413197 12:-4.999528 13:1.8112953 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:293.9295 2:-1.0774325 3:13.290182 4:1.0542648 5:-0.08705579 6:-1.0419338 7:2.4389966 8:-0.61447275 9:2.3290932 10:-2.7555494 11:3.696941 12:-4.9101872 13:1.3486155 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:300.40735 2:-3.4971266 3:7.810398 4:0.33447477 5:0.6621677 6:-3.4312892 7:2.812432 8:1.1524507 9:2.1048276 10:-0.99671745 11:4.624857 12:-3.0360136 13:2.627247 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:300.48715 2:-2.2169044 3:9.026883 4:-0.8971462 5:-1.0944653 6:-4.735912 7:3.5985115 8:1.3761787 9:1.7596714 10:-2.2539225 11:2.436556 12:-4.636768 13:1.933308 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:289.30878 2:-6.1963987 3:7.0024185 4:-0.4141199 5:-0.33179888 6:-4.3250747 7:2.5956917 8:1.8221905 9:2.5047398 10:-1.4685494 11:3.7822342 12:-3.6722112 13:1.9125724 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:280.0735 2:-11.256209 3:4.797232 4:3.0934827 5:2.5614974 6:-4.015002 7:3.176329 8:2.3363397 9:2.575988 10:-2.0157142 11:2.723544 12:-4.9504814 13:0.81433505 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:276.67664 2:-11.744538 3:5.028685 4:3.1709569 5:2.00186 6:-4.845963 7:2.0739036 8:0.59556895 9:3.1407046 10:-1.3229535 11:1.699636 12:-4.743368 13:0.19127764 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
