1 1:105.7708 2:-7.9718432 3:-1.111732 4:-2.4162114 5:6.2139363 6:5.7473497 7:0.7624195 8:-5.2358894 9:4.7529135 10:-5.771193 11:2.1416934 12:-0.71420944 13:2.7328858 14:105.7708 15:-7.9718432 16:-1.111732 17:-2.4162114 18:6.2139363 19:5.7473497 20:0.7624195 21:-5.2358894 22:4.7529135 23:-5.771193 24:2.1416934 25:-0.71420944 26:2.7328858 
1 1:223.47516 2:2.797027 3:2.812297 4:-6.4297457 5:3.8283832 6:1.4935061 7:1.680078 8:-5.118482 9:5.0591483 10:-1.5702274 11:3.7806122 12:-1.932654 13:4.328625 14:223.47516 15:2.797027 16:2.812297 17:-6.4297457 18:3.8283832 19:1.4935061 20:1.680078 21:-5.118482 22:5.0591483 23:-1.5702274 24:3.7806122 25:-1.932654 26:4.328625 
1 1:235.61838 2:4.770225 3:2.4647162 4:-6.7365093 5:4.2778964 6:-0.06427375 7:1.3763818 8:-6.586897 9:3.9195788 10:-0.9770073 11:2.362954 12:-2.301232 13:5.1551657 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:232.15253 2:1.2038575 3:1.5342644 4:-7.4068875 5:4.5520773 6:0.8709817 7:2.1399105 8:-5.093029 9:3.222167 10:-1.0336504 11:1.6331499 12:-3.5689764 13:2.4733796 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:246.64452 2:2.213692 3:1.2212799 4:-8.771064 5:4.8325653 6:1.6538239 7:1.9407377 8:-4.233924 9:2.1422243 10:-1.8688997 11:0.07060085 12:-4.4771967 13:4.2130566 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:250.5996 2:-1.331405 3:0.2557704 4:-9.715539 5:5.075029 6:2.5574043 7:0.8306173 8:-6.6362624 9:3.9908679 10:-0.22420278 11:-0.7963388 12:-3.6598225 13:4.2681265 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:291.92725 2:-3.220727 3:5.9690843 4:-11.351158 5:1.1392628 6:2.2688248 7:-0.8013968 8:-2.4287088 9:5.661628 10:0.5693681 11:1.3440787 12:-1.8650769 13:-0.09912025 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:292.84293 2:-1.134045 3:5.717744 4:-10.75789 5:1.3802491 6:2.9860075 7:1.4010495 8:-2.2197583 9:6.175567 10:0.7742481 11:1.5997018 12:-1.112582 13:0.3685879 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:271.35104 2:10.58852 3:16.5363 4:-3.4355485 5:8.98363 6:2.4920716 7:1.3466127 8:-5.0833297 9:4.0929327 10:-3.4291055 11:4.015873 12:-1.3526841 13:0.6319208 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:271.58087 2:7.9103975 3:19.802261 4:-2.8928502 5:8.796372 6:2.5924406 7:0.55157346 8:-3.992331 9:3.997012 10:-1.2033466 11:4.22162 12:-0.7812874 13:0.6616947 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:256.34116 2:-5.545238 3:7.078038 4:-6.8577557 5:2.9803317 6:0.29190236 7:1.2626972 8:2.6786635 9:5.835254 10:1.0955262 11:4.3716288 12:-0.43810794 13:0.98938495 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
