2 1:92.21895 2:5.28816 3:3.2559743 4:-11.009053 5:5.953952 6:-3.3029077 7:-0.74441785 8:-0.06044678 9:1.7022614 10:-2.7118306 11:2.859347 12:-2.036947 13:1.2002256 14:92.21895 15:5.28816 16:3.2559743 17:-11.009053 18:5.953952 19:-3.3029077 20:-0.74441785 21:-0.06044678 22:1.7022614 23:-2.7118306 24:2.859347 25:-2.036947 26:1.2002256 
2 1:186.72388 2:4.4223466 3:5.061524 4:-4.801147 5:5.7272387 6:-3.7589808 7:3.1229587 8:-1.472733 9:0.28261524 10:-3.3517509 11:-0.65228534 12:-0.9819461 13:3.8589778 14:186.72388 15:4.4223466 16:5.061524 17:-4.801147 18:5.7272387 19:-3.7589808 20:3.1229587 21:-1.472733 22:0.28261524 23:-3.3517509 24:-0.65228534 25:-0.9819461 26:3.8589778 
2 1:196.8356 2:3.2448041 3:4.98215 4:-3.5289695 5:-0.7151537 6:-3.68154 7:3.7050812 8:-3.573601 9:4.6643 10:-0.79065156 11:-0.49666065 12:-1.7879004 13:3.9395401 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:196.8356 2:3.2448041 3:4.98215 4:-3.5289695 5:-0.7151537 6:-3.68154 7:3.7050812 8:-3.573601 9:4.6643 10:-0.79065156 11:-0.49666065 12:-1.7879004 13:3.9395401 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:190.46722 2:3.9501073 3:3.880209 4:-0.74892807 5:3.8323636 6:-2.747285 7:2.3663669 8:-1.4049882 9:5.6747293 10:-3.5475388 11:-0.75690776 12:-1.7381744 13:1.9057897 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:190.46722 2:3.9501073 3:3.880209 4:-0.74892807 5:3.8323636 6:-2.747285 7:2.3663669 8:-1.4049882 9:5.6747293 10:-3.5475388 11:-0.75690776 12:-1.7381744 13:1.9057897 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:201.92455 2:7.2792463 3:10.30584 4:0.49094072 5:6.2972646 6:-0.81301355 7:3.1114955 8:-4.035803 9:-1.0495319 10:-3.044267 11:1.2488947 12:-3.893299 13:4.1879516 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:201.92455 2:7.2792463 3:10.30584 4:0.49094072 5:6.2972646 6:-0.81301355 7:3.1114955 8:-4.035803 9:-1.0495319 10:-3.044267 11:1.2488947 12:-3.893299 13:4.1879516 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:197.27089 2:9.36069 3:5.914755 4:0.9920368 5:7.8271174 6:-1.8911365 7:4.030636 8:-2.4747727 9:4.0234275 10:-2.5584385 11:3.3592892 12:-3.9064205 13:2.9126017 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:197.27089 2:9.36069 3:5.914755 4:0.9920368 5:7.8271174 6:-1.8911365 7:4.030636 8:-2.4747727 9:4.0234275 10:-2.5584385 11:3.3592892 12:-3.9064205 13:2.9126017 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
2 1:200.04892 2:9.283069 3:8.640026 4:-1.3974049 5:4.9501457 6:-1.7970377 7:1.0443388 8:-0.5983358 9:5.0044827 10:-3.9337983 11:2.293895 12:-3.550002 13:1.792131 14:60.227673 15:1.484999 16:2.693224 17:-0.7218125 18:2.3581333 19:-0.057753712 20:1.4516243 21:-0.07447077 22:1.088222 23:-0.82741153 24:0.684567 25:-0.66869557 26:0.78139985 
